     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -                      
45.5 |      321     3846 |    0    54    0     9
45.6 |      321     3846 |    0    45    0     7
45.7 |      322     3846 |    0    45    0     7
45.8 |      323     3846 |    0    45    0     7
45.9 |      323     3846 |    0    45    0     7
46.0 |      323     3846 |    0    45    0     7
46.1 |      321     3846 |    0    45    0     7
46.2 |      321     3846 |    0    45    0     7
46.3 |      321     3846 |    0    45    0     7
46.4 |      321     3846 |    0    45    0     7
46.5 |      320     3847 |    5    45    1     7
46.6 |      321     3847 |    0    45    0     7
